"String ID","Source text","Translation","Context","Path","Filename"
"1","P","po","","BETAFLIGHT","p.wav"
"2","I","i","","BETAFLIGHT","i.wav"
"3","D","do","","BETAFLIGHT","d.wav"
"4","D setpoint","do celpunkto","","BETAFLIGHT","dsetpt.wav"
"5","acro mode","akrobata reĝimo","","INAV","acromd.wav"
"6","active","aktiva","","INAV","active.wav"
"7","altitude hold","altitudodeteno","","INAV","althld.wav"
"8","angle mode","angula reĝimo","","INAV","anglmd.wav"
"9","battery critical","kriza baterio","","INAV","batcrt.wav"
"10","Low battery","Senŝarga baterio","","INAV","batlow.wav"
"11","battery","baterio","","INAV","battry.wav"
"12","cruise mode","krozada reĝimo","","INAV","cruzmd.wav"
"13","danger","danĝero","","INAV","danger.wav"
"14","engines armed","motoroj armitaj","","INAV","engarm.wav"
"15","engines disarmed","motoroj malarmitaj","","INAV","engdrm.wav"
"16","failsafe off","panetoleremo neaktiva","","INAV","fsoff.wav"
"17","failsafe on","panetoleremo aktiva","","INAV","fson.wav"
"18","good","bona","","INAV","good.wav"
"19","GPS","go po so","","INAV","gps.wav"
"20","heading hold active","direktodeteno aktiva","","INAV","hedhlda.wav"
"21","heading hold","direktodeteno","","INAV","hedhld.wav"
"22","headfree active","senkapa reĝimo aktiva","","INAV","hfact.wav"
"23","headfree off","senkapa reĝimo neaktiva","","INAV","hfoff.wav"
"24","home reset","hejmo restarigita","","INAV","homrst.wav"
"25","horizon mode","horizonta reĝimo","","INAV","hrznmd.wav"
"26","lost","perdita","","INAV","lost.wav"
"27","manual mode","mana reĝimo","","INAV","manmd.wav"
"28","normal","normala","","INAV","normal.wav"
"29","off","for","","INAV","off.wav"
"30","on","ek","","INAV","on.wav"
"31","position hold","poziciodeteno","","INAV","poshld.wav"
"32","ready to fly","flugpreta","","INAV","ready.wav"
"33","return to launch","startoreveno","","INAV","rtl.wav"
"34","too high","tro alta","","INAV","toohgh.wav"
"35","warning","averto","","INAV","warnng.wav"
"36","waypoint","vojpunkto","","INAV","waypt.wav"
